Fri Aug  8 08:24:11 2025    morgan/output.prof

         17555703 function calls (16866950 primitive calls) in 41.879 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      173    0.001    0.000    0.753    0.004 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/codegen.py:731(add_ir_module)
      885    0.012    0.000    0.752    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_io.py:71(load_npz)
  722/674    0.002    0.000    0.748    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/typeinfer.py:687(__call__)
    38/35    0.000    0.000    0.663    0.019 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/typing/templates.py:1083(_get_signature)
    38/36    0.000    0.000    0.663    0.018 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/types/functions.py:387(get_call_type)
    28/26    0.000    0.000    0.663    0.025 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/typing/templates.py:1137(generic)
       22    0.001    0.000    0.659    0.030 /usr/src/app/morgan/trainingDataLib.py:304(<listcomp>)
      590    0.003    0.000    0.649    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_sparse_array.py:322(__array_ufunc__)
      590    0.002    0.000    0.645    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_umath.py:13(elemwise)
     3540    0.014    0.000    0.617    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/lib/_npyio_impl.py:233(__getitem__)
      590    0.008    0.000    0.586    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_umath.py:457(get_result)
      590    0.003    0.000    0.582    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/lax/slicing.py:763(scatter)
      295    0.001    0.000    0.581    0.002 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/lib/mixins.py:40(func)
      295    0.001    0.000    0.579    0.002 /usr/src/app/morgan/trainingDataLib.py:439(_so_sparse)
     6461    0.032    0.000    0.546    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/lax/lax.py:545(_convert_element_type)
2308/2266    0.009    0.000    0.546    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/lax/lax.py:1423(broadcast_in_dim)
     1180    0.033    0.000    0.545    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_umath.py:576(_get_func_coords_data)
  618/604    0.002    0.000    0.532    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/lax/slicing.py:57(slice)
      590    0.011    0.000    0.514    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/lax/slicing.py:1357(_slice_impl)
       70    0.000    0.000    0.489    0.007 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/lowering.py:292(create_cfunc_wrapper)
       70    0.001    0.000    0.489    0.007 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/cpu.py:193(create_cfunc_wrapper)
    29/27    0.000    0.000    0.462    0.017 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/base.py:847(compile_subroutine)
      8/7    0.000    0.000    0.461    0.066 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/base.py:809(_compile_subroutine_no_cache)
      189    0.000    0.000    0.441    0.002 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/pjit.py:1619(_resolve_and_lower)
      189    0.001    0.000    0.432    0.002 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/pjit.py:1770(_pjit_lower)
      189    0.009    0.000    0.431    0.002 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/interpreters/pxla.py:2183(lower_sharding_computation)
     3540    0.051    0.000    0.427    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/lib/format.py:762(read_array)
     1752    0.016    0.000    0.427    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_umath.py:656(_match_coo)
      8/7    0.000    0.000    0.417    0.060 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/compiler.py:806(compile_internal)
       26    0.000    0.000    0.417    0.016 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/base.py:876(compile_internal)
2874/2822    0.003    0.000    0.417    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/lax/lax.py:3252(_convert_element_type_bind_with_trace)
  273/106    0.000    0.000    0.416    0.004 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/parfors/parfor_lowering.py:50(lower_inst)
       22    0.005    0.000    0.408    0.019 /usr/src/app/morgan/trainingDataLib.py:329(normalize_and_process_peaklists)
      189    0.004    0.000    0.385    0.002 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/interpreters/pxla.py:1895(_cached_lowering_to_hlo)
      220    0.008    0.000    0.382    0.002 /usr/src/app/morgan/createTrainingData.py:266(getSsmData)
      775    0.006    0.000    0.382    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/postproc.py:71(run)
        3    0.000    0.000    0.380    0.127 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/parfors/parfor_lowering.py:66(_lower_parfor_parallel)
        3    0.000    0.000    0.380    0.127 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/parfors/parfor_lowering.py:73(_lower_parfor_parallel_std)
      189    0.354    0.002    0.376    0.002 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/interpreters/pxla.py:1279(__call__)
      189    0.009    0.000    0.376    0.002 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/interpreters/mlir.py:1080(lower_jaxpr_to_module)
  365/189    0.005    0.000    0.373    0.002 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/pjit.py:715(_infer_params)
     2396    0.022    0.000    0.363    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/numpy/lax_numpy.py:5483(array)
      501    0.001    0.000    0.361    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/llvmlite/ir/module.py:233(__repr__)
  297/189    0.009    0.000    0.359    0.002 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/pjit.py:546(_infer_params_impl)
      501    0.001    0.000    0.354    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/llvmlite/ir/module.py:207(_get_body_lines)
      501    0.002    0.000    0.353    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/llvmlite/ir/module.py:212(<listcomp>)
      295    0.106    0.000    0.349    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/nmrsim/math.py:101(normalize_peaklist)
      632    0.001    0.000    0.348    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/numpy/lax_numpy.py:2497(expand_dims)
       10    0.001    0.000    0.344    0.034 /usr/src/app/morgan/createTrainingData.py:147(<listcomp>)
      632    0.004    0.000    0.343    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/lax/lax.py:2091(expand_dims)
      590    0.340    0.001    0.340    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_common.py:911(_dot_coo_coo)
     1784    0.001    0.000    0.336    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/llvmlite/ir/values.py:1013(__str__)
     1784    0.001    0.000    0.335    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/llvmlite/ir/values.py:1006(descr)
  297/189    0.002    0.000    0.333    0.002 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/linear_util.py:340(memoized_fun)
  297/189    0.002    0.000    0.330    0.002 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/pjit.py:1286(_create_pjit_jaxpr)
    97470    0.062    0.000    0.330    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/event.py:209(broadcast)
141224/131996    0.038    0.000    0.328    0.000 {built-in method builtins.next}
2908569/2907689    0.232    0.000    0.324    0.000 {built-in method builtins.isinstance}
230973/117118    0.090    0.000    0.321    0.000 {method 'format' of 'str' objects}
  283/274    0.001    0.000    0.309    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/lowering.py:914(lower_call)
  411/191    0.004    0.000    0.308    0.002 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/interpreters/partial_eval.py:2143(trace_to_jaxpr_dynamic)
7028/4607    0.012    0.000    0.306    0.000 /opt/conda/envs/ml/lib/python3.10/functools.py:961(__get__)
363203/63146    0.214    0.000    0.302    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/ir.py:321(_rec_list_vars)
  267/258    0.002    0.000    0.302    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/lowering.py:1214(_lower_call_normal)
  167/147    0.002    0.000    0.300    0.002 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/lowering.py:740(lower_binop)
125033/52686    0.053    0.000    0.297    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/llvmlite/ir/_utils.py:44(__str__)
      184    0.001    0.000    0.294    0.002 /opt/conda/envs/ml/lib/python3.10/site-packages/llvmlite/ir/values.py:999(descr_body)
     3350    0.003    0.000    0.293    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/llvmlite/ir/values.py:1172(descr)
  654/640    0.007    0.000    0.286    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/lax/lax.py:2083(squeeze)
     3350    0.006    0.000    0.286    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/llvmlite/ir/values.py:1174(<listcomp>)
      604    0.023    0.000    0.283    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/numpy/lax_numpy.py:12080(_index_to_gather)
      173    0.000    0.000    0.281    0.002 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/codegen.py:740(add_llvm_module)
    43003    0.020    0.000    0.276    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/llvmlite/binding/ffi.py:83(__exit__)
    18459    0.024    0.000    0.272    0.000 /opt/conda/envs/ml/lib/python3.10/zipfile.py:905(read)
    52871    0.012    0.000    0.269    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/ir.py:354(list_vars)
