Wed Aug  6 10:47:05 2025    output.prof

         8957353 function calls (8678762 primitive calls) in 142.250 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      376    0.004    0.000    0.185    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numpy/core/shape_base.py:383(stack)
      162    0.003    0.000    0.180    0.001 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/postproc.py:71(run)
       46    0.000    0.000    0.178    0.004 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/llvmlite/ir/values.py:999(descr_body)
     1032    0.002    0.000    0.177    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/llvmlite/ir/values.py:1172(descr)
47097/19714    0.027    0.000    0.176    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/llvmlite/ir/_utils.py:44(__str__)
     4512    0.015    0.000    0.175    0.000 /home/sp970/.local/share/uv/python/cpython-3.8.20-linux-x86_64-gnu/lib/python3.8/ast.py:51(literal_eval)
     4512    0.007    0.000    0.174    0.000 /home/sp970/.local/share/uv/python/cpython-3.8.20-linux-x86_64-gnu/lib/python3.8/tokenize.py:257(untokenize)
     1032    0.004    0.000    0.173    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/llvmlite/ir/values.py:1174(<listcomp>)
  226/196    0.001    0.000    0.171    0.001 <frozen importlib._bootstrap>:986(_find_and_load)
      752    0.001    0.000    0.167    0.000 <__array_function__ internals>:177(triu)
      513    0.165    0.000    0.165    0.000 {method 'sort' of 'list' objects}
    78/49    0.000    0.000    0.165    0.003 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
     4512    0.101    0.000    0.164    0.000 /home/sp970/.local/share/uv/python/cpython-3.8.20-linux-x86_64-gnu/lib/python3.8/tokenize.py:183(untokenize)
      752    0.005    0.000    0.164    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numpy/lib/twodim_base.py:497(triu)
        9    0.000    0.000    0.164    0.018 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/typing/templates.py:1076(_get_signature)
       16    0.000    0.000    0.164    0.010 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/types/functions.py:389(get_call_type)
    83096    0.026    0.000    0.163    0.000 /home/sp970/.local/share/uv/python/cpython-3.8.20-linux-x86_64-gnu/lib/python3.8/re.py:250(compile)
        6    0.000    0.000    0.163    0.027 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/typing/templates.py:1134(generic)
   130/52    0.000    0.000    0.161    0.003 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    76/50    0.000    0.000    0.161    0.003 <frozen importlib._bootstrap>:650(_load_unlocked)
    73/48    0.000    0.000    0.158    0.003 <frozen importlib._bootstrap_external>:837(exec_module)
10010/9008    0.007    0.000    0.158    0.000 /home/sp970/.local/share/uv/python/cpython-3.8.20-linux-x86_64-gnu/lib/python3.8/contextlib.py:108(__enter__)
      670    0.004    0.000    0.158    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/pandas/core/indexing.py:1089(__getitem__)
