Wed Aug  6 12:02:42 2025    output.prof

         11870861 function calls (11437881 primitive calls) in 70.321 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3384    0.228    0.000    0.546    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/sparse/_coo/core.py:987(reshape)
       34    0.000    0.000    0.544    0.016 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/codegen.py:996(_finalize_specific)
       70    0.000    0.000    0.496    0.007 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/codegen.py:1058(wrapper)
       34    0.000    0.000    0.494    0.015 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/llvmlite/binding/executionengine.py:87(finalize_object)
8468/7340    0.078    0.000    0.431    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/sparse/_coo/core.py:199(__init__)
        2    0.000    0.000    0.422    0.211 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/np/ufunc/array_exprs.py:354(_lower_array_expr)
      752    0.395    0.001    0.396    0.001 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/sparse/_common.py:904(_dot_coo_coo)
    10377    0.008    0.000    0.350    0.000 /home/sp970/.local/share/uv/python/cpython-3.8.20-linux-x86_64-gnu/lib/python3.8/zipfile.py:952(_update_crc)
      376    0.349    0.001    0.349    0.001 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/nmrsim/math.py:113(<listcomp>)
    19401    0.345    0.000    0.345    0.000 {built-in method zlib.crc32}
    87/69    0.002    0.000    0.335    0.005 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/lowering.py:741(lower_binop)
1539128/1537334    0.192    0.000    0.302    0.000 {built-in method builtins.isinstance}
     9024    0.078    0.000    0.298    0.000 /home/sp970/.local/share/uv/python/cpython-3.8.20-linux-x86_64-gnu/lib/python3.8/zipfile.py:1486(open)
      945    0.002    0.000    0.285    0.000 /home/sp970/.local/share/uv/python/cpython-3.8.20-linux-x86_64-gnu/lib/python3.8/pprint.py:55(pformat)
      945    0.002    0.000    0.281    0.000 /home/sp970/.local/share/uv/python/cpython-3.8.20-linux-x86_64-gnu/lib/python3.8/pprint.py:151(pformat)
22054/945    0.022    0.000    0.278    0.000 /home/sp970/.local/share/uv/python/cpython-3.8.20-linux-x86_64-gnu/lib/python3.8/pprint.py:163(_format)
      574    0.002    0.000    0.275    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/typeinfer.py:699(__call__)
        5    0.000    0.000    0.270    0.054 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/cpython/numbers.py:206(int_power_impl)
      237    0.001    0.000    0.266    0.001 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/llvmlite/ir/module.py:233(__repr__)
      237    0.001    0.000    0.262    0.001 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/llvmlite/ir/module.py:207(_get_body_lines)
      237    0.001    0.000    0.261    0.001 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/llvmlite/ir/module.py:212(<listcomp>)
      297    0.004    0.000    0.257    0.001 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/postproc.py:71(run)
  474/264    0.001    0.000    0.252    0.001 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/base.py:261(refresh)
      741    0.000    0.000    0.249    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/llvmlite/ir/values.py:1013(__str__)
      741    0.001    0.000    0.248    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/llvmlite/ir/values.py:1006(descr)
      440    0.002    0.000    0.247    0.001 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/pandas/core/ops/common.py:67(new_method)
131255/65340    0.077    0.000    0.246    0.000 {method 'format' of 'str' objects}
      440    0.001    0.000    0.242    0.001 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/pandas/core/arraylike.py:38(__eq__)
      440    0.005    0.000    0.241    0.001 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/pandas/core/series.py:6086(_cmp_method)
       33    0.001    0.000    0.238    0.007 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/compiler.py:413(__init__)
  507/261    0.001    0.000    0.235    0.001 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/typing/context.py:153(refresh)
70072/66912    0.020    0.000    0.233    0.000 {built-in method builtins.next}
       75    0.001    0.000    0.223    0.003 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/llvmlite/ir/values.py:999(descr_body)
72360/30628    0.034    0.000    0.223    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/llvmlite/ir/_utils.py:44(__str__)
     1686    0.003    0.000    0.223    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/llvmlite/ir/values.py:1172(descr)
  121/119    0.001    0.000    0.221    0.002 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/lowering.py:915(lower_call)
4563/2349    0.008    0.000    0.220    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/typing/context.py:428(install_registry)
     1686    0.004    0.000    0.217    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/llvmlite/ir/values.py:1174(<listcomp>)
     2457    0.026    0.000    0.217    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/pandas/core/series.py:368(__init__)
        6    0.000    0.000    0.217    0.036 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/np/npyimpl.py:335(numpy_ufunc_kernel)
  121/119    0.001    0.000    0.216    0.002 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/lowering.py:1157(_lower_call_normal)
  507/261    0.001    0.000    0.215    0.001 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/typing/context.py:415(_load_builtins)
   272/62    0.001    0.000    0.213    0.003 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/typing/templates.py:900(_get_target_registry)
     1128    0.017    0.000    0.211    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numpy/lib/npyio.py:263(load)
       25    0.000    0.000    0.208    0.008 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/lowering.py:301(create_cfunc_wrapper)
       25    0.001    0.000    0.208    0.008 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/cpu.py:193(create_cfunc_wrapper)
   246/36    0.000    0.000    0.208    0.006 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/typing/templates.py:1047(__init__)
   239/34    0.001    0.000    0.207    0.006 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/typing/templates.py:1093(_init_once)
     2013    0.007    0.000    0.206    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/pandas/core/frame.py:1354(iterrows)
        2    0.000    0.000    0.204    0.102 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/np/npyimpl.py:229(_build_array)
2219/1394    0.005    0.000    0.203    0.000 /home/sp970/.local/share/uv/python/cpython-3.8.20-linux-x86_64-gnu/lib/python3.8/functools.py:947(__get__)
      474    0.007    0.000    0.202    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/cpu.py:60(load_additional_registries)
       68    0.000    0.000    0.201    0.003 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/codegen.py:732(add_llvm_module)
    20642    0.030    0.000    0.191    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/llvmlite/ir/values.py:544(_to_string)
        9    0.000    0.000    0.191    0.021 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/lowering.py:288(create_cpython_wrapper)
        9    0.000    0.000    0.191    0.021 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/cpu.py:181(create_cpython_wrapper)
    80088    0.038    0.000    0.189    0.000 /home/sp970/.local/share/uv/python/cpython-3.8.20-linux-x86_64-gnu/lib/python3.8/tokenize.py:98(_compile)
       68    0.004    0.000    0.187    0.003 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/codegen.py:651(_optimize_functions)
     1753    0.002    0.000    0.186    0.000 <__array_function__ internals>:177(concatenate)
       12    0.000    0.000    0.185    0.015 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/typing/templates.py:1076(_get_signature)
