,metabolite_id,pH,amount,amount_units,reference,solvent,hmdb_experiment_number,bmrb_accession,database_of_origin,database_of_origin_id
SA:3474,SU:1934,,,,,,,bmse000441,GISSMO,bmse000441
SA:3475,SU:1758,,,,,,,bmse000694,GISSMO,bmse000694
SA:3476,SU:224,,,,,,,bmse000680,GISSMO,bmse000680
SA:3477,SU:448,,,,,,,bmse000858,GISSMO,bmse000858
SA:3478,SU:186,,,,,,,bmse000870,GISSMO,bmse000870
SA:3479,SU:180,,,,,,,bmse000864,GISSMO,bmse000864
SA:3480,SU:587,,,,,,,bmse000131,GISSMO,bmse000131
SA:3481,SU:159,,,,,,,bmse000119,GISSMO,bmse000119
SA:3482,SU:785,,,,,,,bmse000121,GISSMO,bmse000121
SA:3483,SU:481,,,,,,,bmse000647,GISSMO,bmse000647
SA:3484,SU:1460,,,,,,,bmse000653,GISSMO,bmse000653
SA:3485,SU:1791,,,,,,,bmse001203,GISSMO,bmse001203
SA:3486,SU:556,,,,,,,bmse000109,GISSMO,bmse000109
SA:3487,SU:1989,,,,,,,bmse000684,GISSMO,bmse000684
SA:3488,SU:1711,,,,,,,bmse000848,GISSMO,bmse000848
SA:3489,SU:1494,,,,,,,bmse000690,GISSMO,bmse000690
SA:3490,SU:434,,,,,,,bmse000860,GISSMO,bmse000860
SA:3491,SU:1669,,,,,,,bmse000445,GISSMO,bmse000445
SA:3492,SU:1813,,,,,,,bmse000323,GISSMO,bmse000323
SA:3493,SU:14,,,,,,,bmse000337,GISSMO,bmse000337
SA:3494,SU:1990,,,,,,,bmse001029,GISSMO,bmse001029
SA:3495,SU:1928,,,,,,,bmse000479,GISSMO,bmse000479
SA:3496,SU:251,,,,,,,bmse000486,GISSMO,bmse000486
SA:3497,SU:1224,,,,,,,bmse000531,GISSMO,bmse000531
SA:3498,SU:186,,,,,,,bmse000243,GISSMO,bmse000243
SA:3499,SU:629,,,,,,,bmse000294,GISSMO,bmse000294
SA:3500,SU:173,,,,,,,bmse000280,GISSMO,bmse000280
SA:3501,SU:565,,,,,,,bmse000727,GISSMO,bmse000727
